home_team,away_team,game_date,home_result
Washington Bullets,Detroit Pistons,04 November 1989,L
Philadelphia 76ers,Milwaukee Bucks,04 November 1989,L
San Antonio Spurs,Los Angeles Lakers,04 November 1989,W
Denver Nuggets,Phoenix Suns,04 November 1989,W
Golden State Warriors,Houston Rockets,04 November 1989,L
Portland Trail Blazers,Minnesota Timberwolves,05 November 1989,W
Orlando Magic,New York Knicks,06 November 1989,W
New Jersey Nets,Miami Heat,07 November 1989,L
Milwaukee Bucks,Boston Celtics,07 November 1989,W
Atlanta Hawks,Washington Bullets,07 November 1989,L
Chicago Bulls,Detroit Pistons,07 November 1989,W
Seattle SuperSonics,Charlotte Hornets,07 November 1989,W
Golden State Warriors,Los Angeles Clippers,07 November 1989,W
Sacramento Kings,Dallas Mavericks,07 November 1989,W
Los Angeles Lakers,Phoenix Suns,07 November 1989,W
Houston Rockets,Portland Trail Blazers,07 November 1989,W
San Antonio Spurs,Portland Trail Blazers,08 November 1989,L
Minnesota Timberwolves,Chicago Bulls,08 November 1989,L
Denver Nuggets,Sacramento Kings,08 November 1989,W
Washington Bullets,Boston Celtics,08 November 1989,W
Cleveland Cavaliers,Orlando Magic,08 November 1989,L
Philadelphia 76ers,Miami Heat,08 November 1989,W
Indiana Pacers,Detroit Pistons,08 November 1989,W
Utah Jazz,Charlotte Hornets,08 November 1989,W
Los Angeles Clippers,Dallas Mavericks,08 November 1989,L
New York Knicks,New Jersey Nets,09 November 1989,W
Milwaukee Bucks,Seattle SuperSonics,09 November 1989,W
Houston Rockets,Denver Nuggets,09 November 1989,L
Golden State Warriors,Los Angeles Lakers,09 November 1989,L
Los Angeles Lakers,Charlotte Hornets,10 November 1989,W
Orlando Magic,Detroit Pistons,10 November 1989,L
Dallas Mavericks,Portland Trail Blazers,10 November 1989,L
Utah Jazz,San Antonio Spurs,10 November 1989,W
Minnesota Timberwolves,Philadelphia 76ers,10 November 1989,W
Boston Celtics,Atlanta Hawks,10 November 1989,W
Washington Bullets,Cleveland Cavaliers,10 November 1989,W
New Jersey Nets,Chicago Bulls,10 November 1989,W
Indiana Pacers,Miami Heat,10 November 1989,W
Phoenix Suns,Sacramento Kings,10 November 1989,W
Golden State Warriors,Charlotte Hornets,11 November 1989,W
Milwaukee Bucks,Philadelphia 76ers,11 November 1989,L
Houston Rockets,Utah Jazz,11 November 1989,W
Atlanta Hawks,Orlando Magic,11 November 1989,W
Miami Heat,Detroit Pistons,11 November 1989,W
Los Angeles Clippers,New York Knicks,11 November 1989,L
San Antonio Spurs,Denver Nuggets,11 November 1989,W
Cleveland Cavaliers,Boston Celtics,11 November 1989,W
Chicago Bulls,Seattle SuperSonics,11 November 1989,W
Portland Trail Blazers,Washington Bullets,12 November 1989,L
Minnesota Timberwolves,Seattle SuperSonics,12 November 1989,L
Los Angeles Lakers,Dallas Mavericks,12 November 1989,W
Utah Jazz,Washington Bullets,13 November 1989,W
Orlando Magic,Atlanta Hawks,13 November 1989,L
Milwaukee Bucks,San Antonio Spurs,14 November 1989,W
Portland Trail Blazers,New York Knicks,14 November 1989,W
Los Angeles Clippers,Denver Nuggets,14 November 1989,W
Minnesota Timberwolves,Golden State Warriors,14 November 1989,W
Sacramento Kings,Chicago Bulls,14 November 1989,L
Miami Heat,Houston Rockets,14 November 1989,W
New Jersey Nets,Cleveland Cavaliers,14 November 1989,L
Charlotte Hornets,Orlando Magic,14 November 1989,W
Boston Celtics,Philadelphia 76ers,14 November 1989,W
Seattle SuperSonics,Dallas Mavericks,14 November 1989,L
Minnesota Timberwolves,San Antonio Spurs,15 November 1989,L
Boston Celtics,New Jersey Nets,15 November 1989,W
Detroit Pistons,Miami Heat,15 November 1989,W
Los Angeles Lakers,Indiana Pacers,15 November 1989,W
Philadelphia 76ers,Charlotte Hornets,15 November 1989,W
Cleveland Cavaliers,Golden State Warriors,15 November 1989,W
Utah Jazz,Chicago Bulls,15 November 1989,W
Denver Nuggets,Washington Bullets,15 November 1989,W
Phoenix Suns,Portland Trail Blazers,15 November 1989,W
Milwaukee Bucks,Orlando Magic,16 November 1989,W
Sacramento Kings,New York Knicks,16 November 1989,L
Houston Rockets,Los Angeles Clippers,16 November 1989,W
Seattle SuperSonics,Washington Bullets,16 November 1989,W
Los Angeles Lakers,Denver Nuggets,17 November 1989,W
Detroit Pistons,Milwaukee Bucks,17 November 1989,W
Utah Jazz,Indiana Pacers,17 November 1989,W
Cleveland Cavaliers,Atlanta Hawks,17 November 1989,W
Portland Trail Blazers,Phoenix Suns,17 November 1989,W
Philadelphia 76ers,San Antonio Spurs,17 November 1989,W
Charlotte Hornets,Golden State Warriors,17 November 1989,W
Dallas Mavericks,Los Angeles Clippers,17 November 1989,W
Boston Celtics,Minnesota Timberwolves,17 November 1989,W
Denver Nuggets,Houston Rockets,18 November 1989,W
Orlando Magic,Philadelphia 76ers,18 November 1989,W
Seattle SuperSonics,Chicago Bulls,18 November 1989,W
New York Knicks,Minnesota Timberwolves,18 November 1989,W
Sacramento Kings,Indiana Pacers,18 November 1989,W
Detroit Pistons,Boston Celtics,18 November 1989,W
Atlanta Hawks,Golden State Warriors,18 November 1989,W
New Jersey Nets,San Antonio Spurs,18 November 1989,L
Phoenix Suns,Washington Bullets,18 November 1989,W
Dallas Mavericks,Miami Heat,18 November 1989,W
Portland Trail Blazers,Seattle SuperSonics,19 November 1989,W
Houston Rockets,Miami Heat,19 November 1989,W
Los Angeles Lakers,Washington Bullets,19 November 1989,W
Minnesota Timberwolves,Utah Jazz,21 November 1989,L
Indiana Pacers,Boston Celtics,21 November 1989,W
Washington Bullets,Milwaukee Bucks,21 November 1989,W
Denver Nuggets,Dallas Mavericks,21 November 1989,W
Charlotte Hornets,Miami Heat,21 November 1989,L
Sacramento Kings,Orlando Magic,21 November 1989,L
Seattle SuperSonics,New Jersey Nets,21 November 1989,W
New York Knicks,Houston Rockets,21 November 1989,W
Portland Trail Blazers,Chicago Bulls,21 November 1989,W
San Antonio Spurs,Phoenix Suns,21 November 1989,W
Detroit Pistons,Atlanta Hawks,21 November 1989,L
Los Angeles Clippers,New Jersey Nets,22 November 1989,W
Minnesota Timberwolves,Denver Nuggets,22 November 1989,L
Phoenix Suns,Chicago Bulls,22 November 1989,L
Boston Celtics,Houston Rockets,22 November 1989,W
Cleveland Cavaliers,New York Knicks,22 November 1989,W
Milwaukee Bucks,Atlanta Hawks,22 November 1989,W
Utah Jazz,Orlando Magic,22 November 1989,L
Golden State Warriors,Sacramento Kings,22 November 1989,W
Miami Heat,Philadelphia 76ers,22 November 1989,L
Denver Nuggets,Seattle SuperSonics,24 November 1989,W
Dallas Mavericks,Minnesota Timberwolves,24 November 1989,W
Los Angeles Clippers,San Antonio Spurs,24 November 1989,L
Miami Heat,Atlanta Hawks,24 November 1989,L
Portland Trail Blazers,New Jersey Nets,24 November 1989,W
Charlotte Hornets,Houston Rockets,24 November 1989,L
Phoenix Suns,Orlando Magic,24 November 1989,W
Philadelphia 76ers,Washington Bullets,24 November 1989,W
Detroit Pistons,Cleveland Cavaliers,24 November 1989,W
Boston Celtics,Indiana Pacers,24 November 1989,L
Utah Jazz,Los Angeles Lakers,25 November 1989,L
Atlanta Hawks,Boston Celtics,25 November 1989,W
Washington Bullets,Miami Heat,25 November 1989,W
Indiana Pacers,Philadelphia 76ers,25 November 1989,L
Cleveland Cavaliers,Houston Rockets,25 November 1989,L
Golden State Warriors,Chicago Bulls,25 November 1989,L
Dallas Mavericks,Seattle SuperSonics,25 November 1989,L
Sacramento Kings,New Jersey Nets,25 November 1989,W
Charlotte Hornets,Minnesota Timberwolves,25 November 1989,W
New York Knicks,Milwaukee Bucks,25 November 1989,W
Los Angeles Clippers,Chicago Bulls,26 November 1989,W
Los Angeles Lakers,San Antonio Spurs,26 November 1989,W
Portland Trail Blazers,Detroit Pistons,26 November 1989,W
New York Knicks,Charlotte Hornets,27 November 1989,W
Milwaukee Bucks,Indiana Pacers,27 November 1989,L
Utah Jazz,New Jersey Nets,27 November 1989,W
Chicago Bulls,Atlanta Hawks,28 November 1989,W
Cleveland Cavaliers,Washington Bullets,28 November 1989,W
Denver Nuggets,Golden State Warriors,28 November 1989,W
San Antonio Spurs,Seattle SuperSonics,28 November 1989,W
Houston Rockets,Los Angeles Lakers,28 November 1989,W
Orlando Magic,Miami Heat,28 November 1989,W
Sacramento Kings,Detroit Pistons,28 November 1989,L
Portland Trail Blazers,Los Angeles Clippers,28 November 1989,W
Indiana Pacers,Utah Jazz,29 November 1989,W
Golden State Warriors,New York Knicks,29 November 1989,L
Washington Bullets,Atlanta Hawks,29 November 1989,L
Miami Heat,Minnesota Timberwolves,29 November 1989,L
Phoenix Suns,Detroit Pistons,29 November 1989,L
New Jersey Nets,Boston Celtics,29 November 1989,L
Dallas Mavericks,Charlotte Hornets,29 November 1989,W
Philadelphia 76ers,Cleveland Cavaliers,29 November 1989,W
Los Angeles Clippers,Milwaukee Bucks,29 November 1989,L
Sacramento Kings,Los Angeles Lakers,30 November 1989,L
San Antonio Spurs,Dallas Mavericks,30 November 1989,W
Seattle SuperSonics,New York Knicks,30 November 1989,W
Denver Nuggets,Milwaukee Bucks,30 November 1989,W
Orlando Magic,Minnesota Timberwolves,30 November 1989,W
Houston Rockets,Charlotte Hornets,30 November 1989,W
Indiana Pacers,Orlando Magic,01 December 1989,W
New Jersey Nets,Miami Heat,01 December 1989,W
Atlanta Hawks,Utah Jazz,01 December 1989,W
Los Angeles Lakers,Detroit Pistons,01 December 1989,L
Portland Trail Blazers,Golden State Warriors,01 December 1989,W
Boston Celtics,Cleveland Cavaliers,01 December 1989,W
Washington Bullets,Philadelphia 76ers,01 December 1989,W
Phoenix Suns,Los Angeles Clippers,01 December 1989,W
Seattle SuperSonics,Detroit Pistons,02 December 1989,W
Washington Bullets,Utah Jazz,02 December 1989,L
Denver Nuggets,Portland Trail Blazers,02 December 1989,W
Atlanta Hawks,Philadelphia 76ers,02 December 1989,W
Cleveland Cavaliers,Minnesota Timberwolves,02 December 1989,L
Golden State Warriors,Milwaukee Bucks,02 December 1989,W
Los Angeles Clippers,Sacramento Kings,02 December 1989,W
San Antonio Spurs,Charlotte Hornets,02 December 1989,W
Phoenix Suns,New York Knicks,02 December 1989,L
Miami Heat,Chicago Bulls,02 December 1989,L
Houston Rockets,Dallas Mavericks,02 December 1989,L
Los Angeles Lakers,New York Knicks,03 December 1989,W
Orlando Magic,Portland Trail Blazers,04 December 1989,L
Charlotte Hornets,Boston Celtics,05 December 1989,L
Sacramento Kings,Milwaukee Bucks,05 December 1989,W
New York Knicks,Philadelphia 76ers,05 December 1989,W
Miami Heat,Portland Trail Blazers,05 December 1989,L
Dallas Mavericks,Golden State Warriors,05 December 1989,W
Chicago Bulls,Denver Nuggets,05 December 1989,W
Cleveland Cavaliers,Utah Jazz,05 December 1989,L
Los Angeles Lakers,Los Angeles Clippers,05 December 1989,W
Seattle SuperSonics,Houston Rockets,05 December 1989,W
Minnesota Timberwolves,New Jersey Nets,05 December 1989,W
Boston Celtics,New York Knicks,06 December 1989,W
Philadelphia 76ers,Miami Heat,06 December 1989,W
San Antonio Spurs,Golden State Warriors,06 December 1989,W
Detroit Pistons,Washington Bullets,06 December 1989,W
Orlando Magic,Atlanta Hawks,06 December 1989,L
Indiana Pacers,Denver Nuggets,06 December 1989,W
Los Angeles Clippers,Cleveland Cavaliers,07 December 1989,W
Utah Jazz,Dallas Mavericks,07 December 1989,W
Los Angeles Lakers,Phoenix Suns,07 December 1989,W
Charlotte Hornets,Portland Trail Blazers,07 December 1989,L
Indiana Pacers,Chicago Bulls,08 December 1989,W
Dallas Mavericks,San Antonio Spurs,08 December 1989,L
Houston Rockets,New Jersey Nets,08 December 1989,L
Philadelphia 76ers,Detroit Pistons,08 December 1989,W
Phoenix Suns,Milwaukee Bucks,08 December 1989,W
Boston Celtics,Denver Nuggets,08 December 1989,L
Miami Heat,Orlando Magic,08 December 1989,W
Atlanta Hawks,Portland Trail Blazers,08 December 1989,W
Golden State Warriors,Sacramento Kings,08 December 1989,L
Detroit Pistons,Indiana Pacers,09 December 1989,W
New York Knicks,Boston Celtics,09 December 1989,W
Chicago Bulls,Philadelphia 76ers,09 December 1989,W
Utah Jazz,Houston Rockets,09 December 1989,W
Atlanta Hawks,Minnesota Timberwolves,09 December 1989,W
Charlotte Hornets,Denver Nuggets,09 December 1989,L
Sacramento Kings,Cleveland Cavaliers,09 December 1989,L
Seattle SuperSonics,Los Angeles Clippers,09 December 1989,W
San Antonio Spurs,New Jersey Nets,09 December 1989,W
Washington Bullets,Los Angeles Lakers,09 December 1989,W
Orlando Magic,Los Angeles Lakers,10 December 1989,W
Milwaukee Bucks,Portland Trail Blazers,10 December 1989,W
Utah Jazz,Cleveland Cavaliers,11 December 1989,L
Indiana Pacers,Minnesota Timberwolves,12 December 1989,W
Portland Trail Blazers,Los Angeles Clippers,12 December 1989,W
Chicago Bulls,Dallas Mavericks,12 December 1989,W
Charlotte Hornets,Los Angeles Lakers,12 December 1989,L
New Jersey Nets,Philadelphia 76ers,12 December 1989,W
Sacramento Kings,Golden State Warriors,12 December 1989,L
Houston Rockets,Phoenix Suns,12 December 1989,W
Atlanta Hawks,San Antonio Spurs,12 December 1989,W
Denver Nuggets,Detroit Pistons,12 December 1989,L
Milwaukee Bucks,Orlando Magic,12 December 1989,W
Philadelphia 76ers,Atlanta Hawks,13 December 1989,W
Los Angeles Clippers,Detroit Pistons,13 December 1989,W
Miami Heat,Los Angeles Lakers,13 December 1989,L
Minnesota Timberwolves,Dallas Mavericks,13 December 1989,L
Utah Jazz,Phoenix Suns,13 December 1989,W
Golden State Warriors,Denver Nuggets,13 December 1989,W
Cleveland Cavaliers,Milwaukee Bucks,13 December 1989,W
Boston Celtics,Seattle SuperSonics,13 December 1989,W
Washington Bullets,Charlotte Hornets,14 December 1989,W
San Antonio Spurs,Houston Rockets,14 December 1989,W
Chicago Bulls,Orlando Magic,14 December 1989,W
New Jersey Nets,Indiana Pacers,14 December 1989,L
Denver Nuggets,Sacramento Kings,15 December 1989,W
Atlanta Hawks,New York Knicks,15 December 1989,L
Philadelphia 76ers,Dallas Mavericks,15 December 1989,L
Minnesota Timberwolves,Miami Heat,15 December 1989,L
Indiana Pacers,Milwaukee Bucks,15 December 1989,L
Boston Celtics,Los Angeles Lakers,15 December 1989,L
Portland Trail Blazers,Golden State Warriors,15 December 1989,L
Cleveland Cavaliers,Seattle SuperSonics,15 December 1989,W
Phoenix Suns,Houston Rockets,15 December 1989,W
Utah Jazz,Detroit Pistons,15 December 1989,W
Golden State Warriors,Detroit Pistons,16 December 1989,W
New York Knicks,Seattle SuperSonics,16 December 1989,W
Milwaukee Bucks,Miami Heat,16 December 1989,L
San Antonio Spurs,Orlando Magic,16 December 1989,W
Washington Bullets,Dallas Mavericks,16 December 1989,W
New Jersey Nets,Los Angeles Lakers,16 December 1989,L
Chicago Bulls,Charlotte Hornets,16 December 1989,W
Los Angeles Clippers,Denver Nuggets,16 December 1989,W
Sacramento Kings,Phoenix Suns,17 December 1989,L
Houston Rockets,Orlando Magic,17 December 1989,W
Minnesota Timberwolves,Utah Jazz,17 December 1989,L
Portland Trail Blazers,Indiana Pacers,17 December 1989,W
Chicago Bulls,Los Angeles Lakers,19 December 1989,W
Los Angeles Clippers,Indiana Pacers,19 December 1989,W
Portland Trail Blazers,Houston Rockets,19 December 1989,W
Charlotte Hornets,Dallas Mavericks,19 December 1989,W
Washington Bullets,Minnesota Timberwolves,19 December 1989,W
Detroit Pistons,Seattle SuperSonics,19 December 1989,W
New York Knicks,Utah Jazz,19 December 1989,W
Miami Heat,New Jersey Nets,19 December 1989,L
Milwaukee Bucks,Boston Celtics,19 December 1989,L
Atlanta Hawks,Sacramento Kings,19 December 1989,W
Phoenix Suns,Indiana Pacers,20 December 1989,L
Philadelphia 76ers,Washington Bullets,20 December 1989,W
Boston Celtics,Utah Jazz,20 December 1989,W
New Jersey Nets,Dallas Mavericks,20 December 1989,L
Golden State Warriors,Houston Rockets,20 December 1989,W
Orlando Magic,Chicago Bulls,20 December 1989,W
San Antonio Spurs,Sacramento Kings,20 December 1989,W
Minnesota Timberwolves,Los Angeles Lakers,20 December 1989,L
Cleveland Cavaliers,Denver Nuggets,20 December 1989,L
Seattle SuperSonics,Portland Trail Blazers,21 December 1989,W
Miami Heat,Atlanta Hawks,21 December 1989,L
Washington Bullets,New York Knicks,22 December 1989,L
Orlando Magic,Denver Nuggets,22 December 1989,L
Charlotte Hornets,Utah Jazz,22 December 1989,L
Golden State Warriors,Indiana Pacers,22 December 1989,W
Atlanta Hawks,Chicago Bulls,22 December 1989,L
Phoenix Suns,San Antonio Spurs,22 December 1989,L
Milwaukee Bucks,Cleveland Cavaliers,22 December 1989,W
Houston Rockets,Sacramento Kings,22 December 1989,W
Boston Celtics,Philadelphia 76ers,22 December 1989,L
Dallas Mavericks,Los Angeles Clippers,22 December 1989,W
New Jersey Nets,Detroit Pistons,22 December 1989,L
Dallas Mavericks,Sacramento Kings,23 December 1989,W
New York Knicks,New Jersey Nets,23 December 1989,W
Phoenix Suns,Los Angeles Clippers,23 December 1989,W
Seattle SuperSonics,Indiana Pacers,23 December 1989,L
Philadelphia 76ers,Chicago Bulls,23 December 1989,W
San Antonio Spurs,Utah Jazz,23 December 1989,W
Minnesota Timberwolves,Milwaukee Bucks,23 December 1989,L
Miami Heat,Denver Nuggets,23 December 1989,L
Detroit Pistons,Orlando Magic,23 December 1989,W
Atlanta Hawks,Cleveland Cavaliers,25 December 1989,W
Charlotte Hornets,San Antonio Spurs,26 December 1989,L
Denver Nuggets,Philadelphia 76ers,26 December 1989,W
Milwaukee Bucks,Houston Rockets,26 December 1989,W
Miami Heat,New York Knicks,26 December 1989,L
Los Angeles Clippers,Boston Celtics,26 December 1989,L
Indiana Pacers,Orlando Magic,26 December 1989,W
Phoenix Suns,Portland Trail Blazers,26 December 1989,W
Chicago Bulls,Minnesota Timberwolves,26 December 1989,W
Utah Jazz,Golden State Warriors,26 December 1989,W
New Jersey Nets,Washington Bullets,26 December 1989,W
Los Angeles Lakers,Sacramento Kings,26 December 1989,W
Minnesota Timberwolves,Houston Rockets,27 December 1989,W
Sacramento Kings,Boston Celtics,27 December 1989,L
Dallas Mavericks,Atlanta Hawks,27 December 1989,W
Orlando Magic,Indiana Pacers,27 December 1989,L
Cleveland Cavaliers,Detroit Pistons,27 December 1989,L
Washington Bullets,San Antonio Spurs,27 December 1989,L
Seattle SuperSonics,Philadelphia 76ers,27 December 1989,W
Los Angeles Clippers,Golden State Warriors,28 December 1989,W
Denver Nuggets,Miami Heat,28 December 1989,W
New Jersey Nets,New York Knicks,28 December 1989,L
Charlotte Hornets,Cleveland Cavaliers,28 December 1989,W
Utah Jazz,Portland Trail Blazers,28 December 1989,W
Minnesota Timberwolves,Phoenix Suns,29 December 1989,L
Indiana Pacers,Houston Rockets,29 December 1989,W
Detroit Pistons,Milwaukee Bucks,29 December 1989,L
Dallas Mavericks,Portland Trail Blazers,29 December 1989,L
Sacramento Kings,Philadelphia 76ers,29 December 1989,W
Chicago Bulls,San Antonio Spurs,29 December 1989,W
Los Angeles Lakers,Golden State Warriors,29 December 1989,W
Seattle SuperSonics,Boston Celtics,29 December 1989,L
Indiana Pacers,Atlanta Hawks,30 December 1989,W
Dallas Mavericks,Denver Nuggets,30 December 1989,W
New York Knicks,Orlando Magic,30 December 1989,W
Washington Bullets,Chicago Bulls,30 December 1989,L
Detroit Pistons,New Jersey Nets,30 December 1989,W
Milwaukee Bucks,Minnesota Timberwolves,30 December 1989,W
Charlotte Hornets,Houston Rockets,30 December 1989,W
Los Angeles Clippers,Philadelphia 76ers,30 December 1989,L
Utah Jazz,Miami Heat,30 December 1989,W
Cleveland Cavaliers,Phoenix Suns,30 December 1989,W
New York Knicks,Phoenix Suns,02 January 1990,L
Dallas Mavericks,Indiana Pacers,02 January 1990,W
Portland Trail Blazers,Miami Heat,02 January 1990,W
Orlando Magic,Detroit Pistons,02 January 1990,L
Golden State Warriors,Utah Jazz,02 January 1990,W
Washington Bullets,New Jersey Nets,02 January 1990,W
Minnesota Timberwolves,Los Angeles Clippers,02 January 1990,L
Atlanta Hawks,Milwaukee Bucks,02 January 1990,W
Detroit Pistons,Los Angeles Clippers,03 January 1990,W
Boston Celtics,Washington Bullets,03 January 1990,W
Seattle SuperSonics,Utah Jazz,03 January 1990,L
New Jersey Nets,Milwaukee Bucks,03 January 1990,L
Cleveland Cavaliers,Chicago Bulls,03 January 1990,L
Los Angeles Lakers,Denver Nuggets,03 January 1990,W
San Antonio Spurs,Philadelphia 76ers,03 January 1990,W
Houston Rockets,Indiana Pacers,03 January 1990,W
New York Knicks,Atlanta Hawks,04 January 1990,W
Sacramento Kings,Denver Nuggets,04 January 1990,L
Golden State Warriors,Miami Heat,04 January 1990,W
Minnesota Timberwolves,Charlotte Hornets,04 January 1990,W
Phoenix Suns,Dallas Mavericks,04 January 1990,W
Detroit Pistons,Indiana Pacers,05 January 1990,W
